,ID,Ticker_symbol,Anni,Valori_Borsa,predictions,residui
0,1.0,MARR,2022,12.30000019073486,19.367354297974778,-7.067354107239918
1,1.0,MARR,2021,18.819999694824215,20.270882207730093,-1.4508825129058778
2,1.0,MARR,2020,17.799999237060547,17.084510502975718,0.715488734084829
3,1.0,MARR,2019,21.20000076293945,18.54313644273289,2.6568643202065587
4,1.0,MARR,2018,21.520000457763665,18.19345092182394,3.3265495359397264
5,1.0,MARR,2017,21.73999977111816,17.578267485250475,4.161732285867686
6,1.0,MARR,2016,17.64999961853027,16.545164224011202,1.1048353945190676
7,1.0,MARR,2015,17.969999313354485,15.76723687649773,2.202762436856755
8,1.0,MARR,2014,14.749999999999998,15.297230102178297,-0.5472301021782986
9,1.0,MARR,2013,11.999999999999998,14.454035646067389,-2.454035646067391
10,2.0,PIA,2022,2.9360001087188716,3.6411054288916094,-0.7051053201727377
11,2.0,PIA,2021,2.864000082015991,3.1310130125562914,-0.2670129305403002
12,2.0,PIA,2020,2.7079999446868896,2.9454032959910768,-0.2374033513041871
13,2.0,PIA,2019,2.740000009536743,2.7433131823612285,-0.0033131728244852887
14,2.0,PIA,2018,1.8949999809265134,2.4605393239396856,-0.5655393430131721
15,2.0,PIA,2017,2.503999948501587,2.3061174613533524,0.19788248714823453
16,2.0,PIA,2016,1.621999979019165,1.9899370473367854,-0.3679370683176204
17,2.0,PIA,2015,2.009999990463257,1.8830753406098903,0.1269246498533665
18,2.0,PIA,2014,2.476000070571899,1.7967666712136634,0.6792333993582356
19,2.0,PIA,2013,2.3559999465942383,1.5999113750734864,0.7560885715207519
20,3.0,BRE,2022,11.0600004196167,11.590217529400206,-0.5302171097835071
21,3.0,BRE,2021,12.989999771118162,11.510122281351,1.479877489767162
22,3.0,BRE,2020,10.948678970336912,9.580646297932994,1.3680326724039187
23,3.0,BRE,2019,11.069999694824217,10.551112054687053,0.518887640137164
24,3.0,BRE,2018,10.180000305175781,11.583970277683903,-1.403969972508122
25,3.0,BRE,2017,13.260000228881834,10.088229440142788,3.171770788739046
26,3.0,BRE,2016,12.050000190734862,9.036549256819534,3.013450933915328
27,3.0,BRE,2015,8.001999855041504,8.313445625445075,-0.31144577040357113
28,3.0,BRE,2014,5.374000072479247,6.804858923070261,-1.4308588505910143
29,3.0,BRE,2013,3.9279999732971187,5.93854317337927,-2.0105432000821515
30,4.0,DAN,2022,22.299999237060543,20.848221955606224,1.4517772814543193
31,4.0,DAN,2021,26.549999237060547,23.09293536644617,3.457063870614377
32,4.0,DAN,2020,15.279999732971186,22.089129823601397,-6.809130090630211
33,4.0,DAN,2019,16.700000762939453,20.576221049138834,-3.8762202861993806
34,4.0,DAN,2018,16.20000076293945,20.907620451419728,-4.707619688480278
35,4.0,DAN,2017,21.149999618530277,21.377586436472832,-0.2275868179425551
36,4.0,DAN,2016,20.57999992370605,17.416306028659506,3.1636938950465456
37,4.0,DAN,2015,15.499999999999996,18.86263650751246,-3.3626365075124625
38,4.0,DAN,2014,20.090000152587887,17.062076622845268,3.027923529742619
39,4.0,DAN,2013,25.299999237060543,15.309680118833626,9.990319118226918
40,5.0,BC,2022,71.49999999999996,48.54707406450513,22.952925935494825
41,5.0,BC,2021,60.79999923706053,38.89632424577742,21.90367499128311
42,5.0,BC,2020,34.2400016784668,27.919733055451562,6.3202686230152345
43,5.0,BC,2019,35.11999893188476,33.47636901038875,1.6436299214960073
44,5.0,BC,2018,28.499999999999996,33.019927929417165,-4.519927929417168
45,5.0,BC,2017,28.89999961853027,28.650766010897122,0.2492336076331476
46,5.0,BC,2016,20.6299991607666,24.20628288530271,-3.5762837245361077
47,5.0,BC,2015,14.930000305175776,24.363229638328317,-9.433229333152541
48,5.0,BC,2014,17.70000076293945,23.224800143805837,-5.524799380866387
49,5.0,BC,2013,23.81999969482422,24.449282026054888,-0.6292823312306695
50,6.0,CLI,2022,2.869999885559082,2.7950775376312182,0.07492234792786379
51,6.0,CLI,2021,3.4600000381469727,2.7791728947192174,0.6808271434277553
52,6.0,CLI,2020,2.4600000381469727,2.6686143872116705,-0.2086143490646979
53,6.0,CLI,2019,2.5,2.9263664513766763,-0.4263664513766763
54,6.0,CLI,2018,2.740000009536743,3.0917894278119578,-0.3517894182752146
55,6.0,CLI,2017,3.5199999809265132,2.9763434105493864,0.5436565703771268
56,6.0,CLI,2016,3.0199999809265137,2.9989021649712475,0.021097815955266164
57,6.0,CLI,2015,3.29800009727478,2.702541048044425,0.5954590492303549
58,6.0,CLI,2014,2.6900000572204585,2.657844597104289,0.03215546011616954
59,6.0,CLI,2013,1.899999976158142,2.493496336954317,-0.5934963607961747
60,7.0,ELC,2022,3.065000057220459,4.019723860792191,-0.9547238035717323
61,7.0,ELC,2021,3.5399999618530273,3.527864524578758,0.012135437274269467
62,7.0,ELC,2020,3.0850000381469727,2.3079029799052795,0.7770970582416932
63,7.0,ELC,2019,2.9700000286102286,2.376041822222364,0.5939582063878648
64,7.0,ELC,2018,1.5199999809265137,2.0528707008002627,-0.532870719873749
65,7.0,ELC,2017,2.4800000190734863,1.8984210196712892,0.5815789994021971
66,7.0,ELC,2016,1.840000033378601,1.9276275253556583,-0.08762749197705721
67,7.0,ELC,2015,1.899999976158142,2.1353688207726775,-0.23536884461453544
68,7.0,ELC,2014,1.7690000534057615,1.924582248923828,-0.1555821955180665
69,7.0,ELC,2013,1.7699999809265134,1.7086251806188604,0.06137480030765308
70,8.0,GPI,2022,14.199999809265131,9.267257555981942,4.932742253283189
